authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,pubvol,pubno,firstpage,lastpage,created,modified,publication_type,comments,project_name,project_ref_no
"J. Sepkoski","M. Sommers",,13,"J. J.","Sepkoski Jr.",,,,1998,,,,,,,"1998-11-19 13:25:30",19981119132530,,,,
"M. Patzkowsky","K. Bezusko-Layou",,46,"M. E.",Patzkowsky,"S. M.",Holland,,1999,"Biofacies Replacement in a Sequence Stratigraphic Framework:  Middle and Upper Ordovician of the Nashville Dome, Tennessee, USA","Palaios		",14,4,,,"1999-06-03 06:14:12",19990603061412,,,,
"A. Miller","P. Novack-Gottshall",,80,"K. D.",Corbett,"M. R.",Banks,,1974,"Ordovician stratigraphy of the Florentine Synclinorium, southwest Tasmania","Papers and Proceedings of the Royal Society of Tasmania",107,,207,238,"1999-07-14 06:40:05",19990714064005,,,,
"A. Miller","P. Novack-Gottshall",,81,C.,Burrett,B.,Strait,"C. Sharples, J. Laurie",1984,"Middle-Upper Ordovician shallow platform to deep  basin transect, southern Tasmania, Australia","In Aspects of the Ordovician System.  D.L. Bruton, ed.  Palaeontological Contributions from the University of Oslo",295,,149,157,"1999-07-14 10:35:07",19990714103507,,,,
"A. Miller","P. Novack-Gottshall",,86,"I. G.",Percival,,,,1976,"The geology of the Licking Hole Creek area, near Walli, central western New South Wales","Journal and Proceedings of the Royal Society of New South Wales",109,1-2,7,23,"1999-07-15 04:55:54",19990715045554,,,,
"A. Miller","P. Novack-Gottshall",,92,I.,Percival,,,,1991,"Late Ordovician articulate brachiopods from central New South Wales, Australia","Memoir of the Association of Australasian Palaeontologists",11,,107,177,"1999-07-15 10:51:34",19990715105134,,,,
"A. Miller","P. Novack-Gottshall",,103,"P. M.",Sheehan,,,,1977,"Swedish Late Ordovician marine benthic assemblages and their bearing on brachiopod biogeography","In J. Grey and A. J. Boucot, eds.  Historical biogeography, plate tectonics, and the changing environment.  Oregon State University Press, Corvallis.",,,61,73,"1999-07-18 13:35:51",19990718133551,,,,
"A. Miller","P. Novack-Gottshall",,109,"A. W.",Owen,"D. L.",Bruton,"J. F. Bockelie, T. G. Vockelie",1990,"The Ordovician successions of the Oslo region, Norway","Norges Geologiske Undersolelse Special Publication",,4,1,54,"1999-07-18 13:48:56",19990718134856,,,,
"A. Miller","P. Novack-Gottshall",,118,"T. L.",Harland,,,,1981,"Middle Ordovician reefs of Norway",Lethaia,14,,169,188,"1999-07-18 14:01:09",19990718140109,,,,
"J. Alroy","M. Sommers",,128,"P. E.",Isaacson,B.,Antelo,"A. J. Boucot",1976,"Implications of a Llandovery (Early Silurian) brachiopod fauna from Salta Province, Argentina","Journal of Paleontology",50,6,1103,1112,"1999-07-21 11:28:20",19990721112820,,,,
"J. Alroy","M. Sommers",,129,M.,Smelror,"R. M.",Cocks,"A. Mork, B. E. E. Neuman, H. A. Nakrem",1997,"Upper Ordovician - Lower Silurian strata and biota from offshore South Norway","Norsk Geologisk Tidsskrift",77,,251,268,"1999-07-21 12:22:08",19990721122208,,,,
"J. Alroy","M. Sommers",,133,"S. J.",Nelson,"R. D.",Johnson,,1968,"Kaskattama no. 1 well, central Hudson Bay lowland, Manitoba, Canada","Bulletin of Canadian Petroleum Geology",16,4,431,445,"1999-07-23 08:49:00",19990723084900,,,,
"J. Alroy","M. Sommers",,134,"J. M.",Hurst,"R. K.",Pickerill,,1986,"The relationship between sedimentary facies and faunal associations in the Llandovery siliclastic Ross Brook Formation, Arisaig, Nova Scotia","Canadian Journal of Earth Science",23,,705,726,"1999-07-23 12:41:54",19990723124154,,,,
"J. Alroy","M. Sommers",,147,"J. T.",Temple,,,,1970,"The Lower Llandovery brachiopods and trilobites from Ffridd Mathrafal, near Meifod, Montgomeryshire","Palaeontological Society Monographs",124,527,1,76,"1999-07-27 13:47:15",19990727134715,,,,
"J. Alroy","M. Sommers",,148,"R. K.",Pickerill,"J. M.",Hurst,,1983,"Sedimentary facies, depositional environments, and faunal associations of the lower Llandovery (Silurian) Beechill Cove Formation, Arisaig, Nova Scotia","Canadian Journal of Earth Sciences",20,,1761,1779,"1999-07-27 15:50:49",19990727155049,,,,
